,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,type
0,0.535,0.42,0.15,0.6995,0.2575,0.153,0.24,3
1,0.51,0.38,0.115,0.5155,0.215,0.1135,0.166,1
2,0.185,0.13,0.045,0.0289999999999999,0.012,0.0075,0.0095,1
3,0.55,0.45,0.17,0.81,0.317,0.157,0.22,3
4,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,1
5,0.7,0.575,0.205,1.773,0.605,0.447,0.5379999999999999,3
6,0.4,0.305,0.085,0.297,0.108,0.0705,0.1,2
7,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,2
8,0.655,0.515,0.2,1.3730000000000002,0.4429999999999999,0.3375,0.49,3
9,0.595,0.475,0.165,1.148,0.444,0.214,0.37,2
10,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,2
11,0.4,0.29,0.115,0.2795,0.1115,0.0575,0.075,2
12,0.47,0.375,0.125,0.5615,0.252,0.1369999999999999,0.18,2
13,0.375,0.3,0.1,0.2465,0.104,0.0475,0.083,3
14,0.645,0.505,0.165,1.307,0.4335,0.262,0.52,2
15,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,3
16,0.6,0.465,0.15,1.1025,0.5455,0.262,0.25,1
17,0.38,0.29,0.1,0.237,0.108,0.0395,0.0819999999999999,1
18,0.43,0.33,0.1,0.449,0.254,0.0825,0.0969999999999999,1
19,0.595,0.455,0.155,1.041,0.416,0.2105,0.365,3
20,0.41,0.3,0.1,0.282,0.1255,0.057,0.0875,1
21,0.55,0.42,0.155,0.912,0.495,0.1805,0.205,2
22,0.55,0.425,0.15,0.7665,0.3389999999999999,0.176,0.21,1
23,0.29,0.21,0.06,0.1045,0.0415,0.022,0.035,1
24,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,3
25,0.45,0.34,0.125,0.4045,0.171,0.07,0.1345,1
26,0.63,0.515,0.17,1.385,0.6355,0.2955,0.38,3
27,0.37,0.28,0.1,0.221,0.1165,0.0265,0.0635,1
28,0.695,0.53,0.15,1.477,0.6375,0.3025,0.43,3
29,0.525,0.4,0.13,0.6455,0.325,0.1245,0.17,1
30,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,1
31,0.635,0.505,0.185,1.3035,0.501,0.295,0.41,3
32,0.53,0.455,0.165,0.9805,0.3155,0.2815,0.2965,3
33,0.48,0.35,0.1,0.519,0.2365,0.1275,0.126,1
34,0.635,0.505,0.145,1.1345,0.505,0.2655,0.315,2
35,0.605,0.48,0.155,0.9995,0.425,0.1985,0.3,2
36,0.455,0.375,0.125,0.484,0.2155,0.102,0.165,1
37,0.56,0.42,0.195,0.8085,0.3025,0.1795,0.285,3
38,0.58,0.5,0.165,0.925,0.37,0.185,0.3005,2
39,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,3
40,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335,2
41,0.52,0.4,0.11,0.597,0.2935,0.1155,0.16,1
42,0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,2
43,0.58,0.46,0.165,1.2275,0.473,0.1965,0.435,3
44,0.5,0.415,0.165,0.6885,0.249,0.138,0.25,3
45,0.635,0.505,0.19,1.3315,0.5805,0.252,0.435,3
46,0.165,0.11,0.02,0.019,0.0065,0.0025,0.005,1
47,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,1
48,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,3
49,0.58,0.49,0.13,1.1335,0.586,0.2565,0.237,2
50,0.715,0.565,0.175,1.9525,0.7645,0.4185,0.4135,2
51,0.515,0.395,0.135,0.516,0.2015,0.132,0.162,2
52,0.45,0.33,0.115,0.365,0.14,0.0825,0.1245,1
53,0.535,0.41,0.135,0.862,0.2855,0.1525,0.32,3
54,0.39,0.29,0.125,0.3055,0.121,0.0819999999999999,0.09,1
55,0.405,0.325,0.11,0.3555,0.151,0.063,0.1169999999999999,2
56,0.405,0.3,0.11,0.32,0.172,0.044,0.093,1
57,0.62,0.48,0.165,1.0855,0.481,0.2575,0.305,2
58,0.56,0.44,0.165,0.8,0.335,0.1735,0.25,3
59,0.55,0.42,0.115,0.6679999999999999,0.2925,0.1369999999999999,0.209,3
60,0.43,0.33,0.095,0.32,0.118,0.065,0.123,1
61,0.47,0.36,0.145,0.537,0.1725,0.1375,0.195,3
62,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,2
63,0.595,0.455,0.15,0.8859999999999999,0.4315,0.201,0.223,2
64,0.55,0.43,0.18,0.8265,0.4405,0.159,0.225,2
65,0.575,0.475,0.16,1.114,0.4955,0.2745,0.29,2
66,0.385,0.285,0.09,0.248,0.0935,0.066,0.07,1
67,0.515,0.415,0.14,0.6935,0.3115,0.152,0.2,2
68,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,1
69,0.53,0.42,0.155,0.81,0.4725,0.111,0.192,2
70,0.595,0.47,0.155,1.121,0.4515,0.178,0.155,3
71,0.455,0.345,0.105,0.4005,0.1639999999999999,0.0755,0.126,1
72,0.535,0.43,0.155,0.7845,0.3285,0.1689999999999999,0.245,2
73,0.645,0.51,0.155,1.539,0.6405,0.3585,0.43,3
74,0.7,0.545,0.13,1.556,0.6725,0.374,0.195,3
75,0.57,0.45,0.145,0.95,0.4005,0.2235,0.2845,2
76,0.43,0.335,0.105,0.3779999999999999,0.188,0.0785,0.09,1
77,0.575,0.48,0.17,1.1,0.506,0.2485,0.31,2
78,0.355,0.275,0.09,0.251,0.0969999999999999,0.053,0.08,1
79,0.65,0.5,0.16,1.3825,0.7020000000000001,0.304,0.3195,2
80,0.625,0.465,0.155,0.972,0.4039999999999999,0.1845,0.35,3
81,0.62,0.51,0.175,1.1505,0.4375,0.2265,0.4,3
82,0.495,0.37,0.125,0.4715,0.2075,0.091,0.15,1
83,0.635,0.49,0.155,1.145,0.4775,0.3035,0.3155,2
84,0.42,0.305,0.11,0.28,0.094,0.0785,0.0955,2
85,0.705,0.535,0.22,1.866,0.929,0.3835,0.4395,2
86,0.625,0.47,0.175,1.179,0.605,0.258,0.271,2
87,0.6,0.51,0.185,1.285,0.6095,0.2745,0.315,2
88,0.575,0.47,0.15,1.1415,0.4515,0.204,0.4,3
89,0.425,0.34,0.1,0.3515,0.1625,0.0819999999999999,0.094,1
90,0.52,0.41,0.145,0.6459999999999999,0.2965,0.1595,0.165,2
91,0.455,0.35,0.125,0.4485,0.1585,0.102,0.1335,3
92,0.57,0.44,0.19,1.018,0.447,0.207,0.265,2
93,0.73,0.555,0.18,1.6895,0.6555,0.1965,0.4935,2
94,0.43,0.315,0.095,0.3779999999999999,0.175,0.08,0.1045,1
95,0.72,0.55,0.205,2.125,1.1455,0.4425,0.511,3
96,0.475,0.38,0.135,0.486,0.1735,0.07,0.185,1
97,0.58,0.45,0.235,1.071,0.3,0.206,0.395,3
98,0.425,0.325,0.135,0.382,0.1465,0.079,0.14,3
99,0.61,0.495,0.185,1.1085,0.3705,0.3135,0.33,3
100,0.41,0.325,0.11,0.326,0.1325,0.075,0.1009999999999999,1
101,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,3
102,0.63,0.515,0.16,1.336,0.5529999999999999,0.3205,0.35,3
103,0.655,0.455,0.17,1.2895,0.5870000000000001,0.3165,0.3415,3
104,0.52,0.405,0.14,0.6915,0.276,0.1369999999999999,0.215,3
105,0.565,0.45,0.135,0.9885,0.387,0.1495,0.31,3
106,0.695,0.535,0.175,1.361,0.5465,0.2815,0.465,2
107,0.6,0.45,0.14,0.8690000000000001,0.3425,0.195,0.291,3
108,0.57,0.42,0.16,0.8875,0.4315,0.1915,0.223,1
109,0.475,0.35,0.1,0.4545,0.2165,0.111,0.115,1
110,0.35,0.28,0.075,0.196,0.0819999999999999,0.04,0.064,1
111,0.495,0.33,0.1,0.44,0.177,0.095,0.15,1
112,0.48,0.37,0.1,0.5135,0.243,0.1015,0.135,1
113,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,1
114,0.68,0.52,0.185,1.494,0.615,0.3935,0.406,3
115,0.505,0.4,0.125,0.583,0.246,0.13,0.175,1
116,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,1
117,0.7,0.55,0.2,1.523,0.693,0.306,0.4405,3
118,0.475,0.35,0.125,0.4225,0.1905,0.079,0.1355,2
119,0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,2
120,0.525,0.4,0.14,0.654,0.305,0.16,0.1689999999999999,1
121,0.175,0.135,0.04,0.0305,0.011,0.0075,0.01,1
122,0.4,0.265,0.1,0.2775,0.1245,0.0605,0.08,2
123,0.67,0.585,0.16,1.3090000000000002,0.5445,0.2945,0.413,2
124,0.67,0.52,0.195,1.8065,0.758,0.3735,0.5055,3
125,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12,2
126,0.435,0.315,0.11,0.3685,0.1615,0.0715,0.12,1
127,0.505,0.4,0.145,0.7045,0.3339999999999999,0.1425,0.207,1
128,0.52,0.4,0.105,0.872,0.4515,0.1615,0.1985,2
129,0.17,0.105,0.035,0.034,0.012,0.0085,0.005,1
130,0.355,0.26,0.09,0.1985,0.0715,0.0495,0.0579999999999999,1
131,0.23,0.17,0.05,0.057,0.026,0.013,0.016,1
132,0.645,0.53,0.195,1.39,0.6465,0.2945,0.3735,2
133,0.64,0.515,0.205,1.5335,0.6635,0.3345,0.4025,2
134,0.485,0.37,0.115,0.457,0.1885,0.0965,0.15,2
135,0.375,0.285,0.09,0.257,0.1045,0.062,0.075,1
136,0.38,0.3,0.09,0.3215,0.1545,0.075,0.095,2
137,0.35,0.265,0.11,0.209,0.066,0.059,0.075,2
138,0.5,0.37,0.15,1.0615,0.494,0.223,0.296,2
139,0.63,0.465,0.15,1.027,0.537,0.188,0.176,1
140,0.31,0.24,0.105,0.2885,0.118,0.065,0.083,1
141,0.475,0.365,0.115,0.4589999999999999,0.2175,0.093,0.1165,1
142,0.52,0.41,0.125,0.6985,0.2945,0.1625,0.215,2
143,0.565,0.4,0.13,0.6975,0.3075,0.1665,0.18,1
144,0.695,0.58,0.2,1.8995,0.675,0.478,0.5295,3
145,0.5,0.385,0.145,0.7615,0.246,0.195,0.204,3
146,0.575,0.45,0.15,0.858,0.449,0.166,0.215,2
147,0.535,0.415,0.17,0.879,0.295,0.1965,0.285,2
148,0.44,0.345,0.105,0.4285,0.165,0.083,0.132,3
149,0.475,0.36,0.11,0.492,0.211,0.11,0.15,1
150,0.665,0.535,0.155,1.383,0.596,0.2565,0.485,3
151,0.59,0.45,0.16,0.893,0.2745,0.2185,0.345,3
152,0.61,0.475,0.165,1.116,0.428,0.2205,0.315,3
153,0.48,0.35,0.135,0.5465,0.2735,0.0995,0.158,1
154,0.38,0.28,0.095,0.2885,0.165,0.0435,0.067,1
155,0.455,0.35,0.135,0.5365,0.2855,0.0855,0.1325,1
156,0.61,0.465,0.125,0.9225,0.436,0.19,0.26,2
157,0.31,0.24,0.09,0.1455,0.0605,0.0315,0.045,1
158,0.65,0.51,0.175,1.35,0.575,0.3155,0.3885,2
159,0.475,0.38,0.145,0.57,0.1669999999999999,0.118,0.187,3
160,0.565,0.44,0.185,0.909,0.344,0.2325,0.255,3
161,0.605,0.47,0.14,0.939,0.3385,0.201,0.32,3
162,0.355,0.26,0.09,0.1925,0.077,0.038,0.065,1
163,0.375,0.275,0.095,0.2465,0.11,0.0415,0.0775,1
164,0.625,0.47,0.17,1.255,0.525,0.2415,0.405,2
165,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,2
166,0.46,0.36,0.115,0.4755,0.2105,0.105,0.16,1
167,0.63,0.49,0.16,1.09,0.407,0.2239999999999999,0.354,3
168,0.655,0.515,0.17,1.527,0.8485,0.2635,0.331,3
169,0.51,0.4,0.125,0.5575,0.2615,0.1195,0.1525,2
170,0.44,0.355,0.125,0.4775,0.132,0.0815,0.19,2
171,0.41,0.31,0.09,0.3335,0.1635,0.061,0.091,1
172,0.57,0.47,0.155,1.186,0.6355,0.2315,0.2769999999999999,2
173,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485,1
174,0.435,0.34,0.115,0.3925,0.1825,0.078,0.1145,1
175,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365,1
176,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215,3
177,0.595,0.48,0.2,0.975,0.358,0.2035,0.34,3
178,0.75,0.55,0.195,1.8325,0.83,0.366,0.44,3
179,0.64,0.52,0.175,1.248,0.4245,0.2595,0.48,3
180,0.435,0.345,0.12,0.4475,0.221,0.1119999999999999,0.125,1
181,0.75,0.555,0.215,2.201,1.0615,0.5235,0.5285,3
182,0.625,0.49,0.145,0.92,0.437,0.1735,0.28,2
183,0.57,0.445,0.155,0.867,0.3705,0.1705,0.28,2
184,0.59,0.475,0.155,0.857,0.356,0.174,0.28,3
185,0.505,0.405,0.13,0.599,0.2245,0.1175,0.225,3
186,0.5,0.375,0.14,0.5495,0.248,0.1119999999999999,0.1585,1
187,0.46,0.34,0.135,0.495,0.1655,0.1169999999999999,0.185,2
188,0.315,0.235,0.075,0.1485,0.0585,0.0375,0.0425,1
189,0.64,0.475,0.14,1.0725,0.4895,0.2295,0.31,1
190,0.465,0.375,0.11,0.5,0.21,0.113,0.1505,1
191,0.61,0.47,0.16,1.0745,0.4925,0.236,0.29,1
192,0.57,0.435,0.145,0.9055,0.3925,0.2355,0.275,2
193,0.33,0.25,0.095,0.2085,0.102,0.0395,0.052,1
194,0.655,0.51,0.175,1.6525,0.8515,0.3365,0.4029999999999999,2
195,0.615,0.46,0.15,1.0265,0.4935,0.201,0.2745,2
196,0.43,0.34,0.0,0.428,0.2065,0.086,0.115,1
197,0.44,0.34,0.1,0.451,0.188,0.087,0.13,2
198,0.435,0.325,0.1,0.366,0.174,0.0725,0.109,1
199,0.315,0.23,0.07,0.144,0.053,0.0305,0.04,1
200,0.71,0.565,0.195,1.817,0.785,0.492,0.49,3
201,0.72,0.55,0.195,2.073,1.0715,0.4265,0.5015,2
202,0.635,0.51,0.155,0.986,0.405,0.2255,0.31,2
203,0.71,0.565,0.2,1.601,0.706,0.321,0.45,3
204,0.405,0.325,0.11,0.3575,0.145,0.0725,0.11,3
205,0.435,0.35,0.125,0.4589999999999999,0.1969999999999999,0.1145,0.145,2
206,0.77,0.605,0.175,2.0505,0.8005,0.526,0.355,3
207,0.5,0.385,0.13,0.768,0.2625,0.095,0.27,3
208,0.46,0.38,0.135,0.482,0.207,0.1225,0.145,2
209,0.62,0.485,0.145,1.003,0.4655,0.2195,0.28,3
210,0.545,0.44,0.15,0.9475,0.366,0.239,0.275,1
211,0.47,0.37,0.12,0.5795,0.293,0.2269999999999999,0.14,2
212,0.505,0.395,0.105,0.551,0.248,0.103,0.171,1
213,0.55,0.415,0.175,1.042,0.3295,0.2325,0.2905,3
214,0.515,0.4,0.125,0.5925,0.265,0.1175,0.168,2
215,0.5,0.385,0.155,0.762,0.3795,0.161,0.19,3
216,0.505,0.4,0.15,0.775,0.3445,0.157,0.185,1
